Transaction_ID,Account_Number,Security_ID,Trade_Date,Settlement_Date,Quantity,Price,Trade_Amount,Status,Currency_Code
TRX0000059,1185687973,SEC00106,12/5/2024,12/7/2024,3825,434,1660050,Settled,AUD
TRX0000060,3647832611,SEC00033,4/20/2025,4/22/2025,595,213.52,127044.4,Settled,EUR
TRX0000061,70623991775,SEC00046,5/7/2025,5/8/2025,1371,124.67,170922.57,Failed,INR
TRX0000062,8561035185,SEC00169,9/10/2025,9/11/2025,3730,53.53,199666.9,Settled,JPY
TRX0000063,1387882217,SEC00087,3/4/2025,3/6/2025,2972,412.51,1225979.72,Settled,AED
TRX0000064,3984325187,SEC00088,8/15/2025,,720,83.6,60192,Settled,MXN
TRX0000065,4486536641,SEC00170,4/10/2025,4/12/2025,768,11.55,8870.4,Settled,CLP
TRX0000066,2843720138,SEC00154,11/22/2024,11/24/2024,874,295.98,258686.52,Settled,CAD
TRX0000067,2895425571,SEC00152,7/2/2025,7/4/2025,1968,252.76,497431.68,Settled,JPY
TRX0000068,1387882217,SEC00038,7/19/2025,7/21/2025,2465,119.14,293680.1,Settled,AED
TRX0000069,3276346579,SEC00144,12/12/2024,12/14/2024,4744,25.58,121351.52,Settled,BRL
TRX0000070,6772423440,SEC00001,1/26/2025,1/28/2025,4467,416.9,1862292.3,Settled,MXN
TRX0000071,6476100912,SEC00147,9/30/2024,,3447,421.94,1454427.18,Settled,GBP
TRX0000072,6530528735,SEC00072,8/7/2025,,1604,389.96,625495.84,Settled,MXN
TRX0000073,6442714264,SEC00173,5/4/2025,5/5/2025,3695,268.5,-992107.5,Failed,AUD
TRX0000074,2186894135,SEC00167,3/18/2025,3/19/2025,4168,193.16,805090.88,Settled,AED
TRX0000075,0321230713,SEC00165,5/3/2025,5/5/2025,306,239.46,73274.76,Settled,BRL
TRX0000076,4007225147,SEC00137,2/11/2025,2/13/2025,1691,183.83,310856.53,Settled,COP
TRX0000077,0796492088,SEC00172,2/17/2025,2/19/2025,1897,149.14,282918.58,Settled,MXN
TRX0000078,0319342783,SEC00020,5/14/2025,5/16/2025,4581,164.85,755177.85,Settled,AUD
TRX0000079,3528536860,SEC00073,8/28/2025,8/30/2025,4242,402.39,1706938.38,Settled,INR
TRX0000080,6778995956,SEC00113,6/18/2025,6/20/2025,3164,367.71,1163434.44,Settled,CLP
TRX0000081,1157124795,SEC00077,4/18/2025,4/19/2025,3474,66.92,232480.08,Pending,MXN
TRX0000082,3518801882,SEC00030,5/2/2025,5/3/2025,476,43.16,20544.16,Settled,GBP
TRX0000083,5125343460,SEC00173,6/3/2025,,687,400.64,275239.68,Settled,USD
TRX0000084,6333104285,SEC00134,2/21/2025,2/22/2025,3913,473.07,1851122.91,Settled,XXX
TRX0000085,7575030988,SEC00038,4/15/2025,4/17/2025,2603,86.47,225081.41,Pending,EUR
TRX0000086,1669540043,SEC00063,4/6/2025,4/8/2025,2380,261.79,623060.2,Settled,AUD
TRX0000087,5700289392,SEC00160,6/17/2025,6/18/2025,2589,300.2,777217.8,Pending,ARS
TRX0000088,1212806224,SEC00180,8/17/2025,8/19/2025,3929,44.77,175901.33,Settled,COP
TRX0000089,5777959399,SEC00107,5/10/2025,5/12/2025,4608,335.94,1548011.52,Pending,EUR
TRX0000090,8635572089,SEC00120,1/11/2025,1/12/2025,4085,136,555560,Settled,INR
TRX0000091,2388906871,SEC00092,1/22/2025,1/24/2025,1565,74.74,116968.1,Settled,BRL
TRX0000092,1775483909,SEC00116,8/19/2025,8/21/2025,3687,365.11,1346160.57,Settled,USD
TRX0000093,4919134244,SEC00012,4/1/2025,,1804,240.21,433338.84,Settled,CAD
TRX0000094,4710455105,SEC00036,1/27/2025,,25,475.65,11891.25,Pending,CAD
TRX0000095,3886605613,SEC00024,12/19/2024,12/21/2024,4252,61.84,262943.68,Settled,SGD
TRX0000096,3647832611,SEC00029,9/23/2024,9/25/2024,3430,227.7,781011,Settled,EUR
TRX0000097,9550762049,SEC00106,12/28/2024,12/30/2024,1577,151.66,239167.82,Settled,ZAR
TRX0000098,0998552643,SEC00069,8/13/2025,8/14/2025,2724,498.52,1357968.48,Settled,BRL
TRX0000099,0393719127,SEC00114,7/29/2025,7/31/2025,3890,54.1,210449,Settled,CLP
TRX0000100,0505551351,SEC00131,9/11/2025,9/13/2025,683,46.13,31506.79,Settled,CLP
TRX0000101,8375734060,SEC00023,8/5/2025,8/7/2025,1230,72.37,89015.1,Settled,USD
TRX0000102,8434939761,SEC00035,6/22/2025,6/24/2025,73,328.48,23979.04,Failed,ARS
TRX0000103,7580564091,SEC00164,9/25/2024,9/27/2024,782,303.36,237227.52,Settled,ARS
TRX0000104,9559473277,SEC00083,7/1/2025,7/3/2025,1439,29.56,42536.84,Settled,ARS
TRX0000105,4094903423,SEC00038,7/1/2025,,602,349.36,210314.72,Settled,INR
TRX0000106,9167007335,SEC00131,7/14/2025,7/16/2025,2281,63.34,144478.54,Failed,SGD
TRX0000107,4109484060,SEC00100,3/15/2025,3/16/2025,2741,425.71,1166871.11,Settled,COP
TRX0000108,2250921798,SEC00157,11/7/2024,11/8/2024,266,136.11,36205.26,Settled,USD
TRX0000109,8571542948,SEC00152,3/21/2025,3/23/2025,4901,28.2,138208.2,Settled,MXN
TRX0000110,4710455105,SEC00170,9/13/2024,9/14/2024,212,355.08,75276.96,Settled,CAD
TRX0000111,1165354259,SEC00170,1/25/2025,1/27/2025,459,490.03,224923.77,Pending,USD
TRX0000112,6215509941,SEC00008,3/29/2025,3/31/2025,3920,286.63,1123589.6,Settled,MXN
TRX0000113,9821733085,SEC00139,12/11/2024,12/13/2024,4730,289.43,1369003.9,Settled,MXN
TRX0000114,3523377867,SEC00130,12/14/2024,,3246,75.07,243677.22,Failed,ARS
TRX0000115,7747684458,SEC00133,5/22/2025,5/24/2025,2020,60.49,122189.8,Pending,MXN
TRX0000116,4094903423,SEC00050,8/23/2025,8/25/2025,1391,214.52,298397.32,Settled,INR
TRX0000117,4493797887,SEC00055,2/5/2025,2/7/2025,3173,204.98,650401.54,Settled,EUR
TRX0000118,5999185367,SEC00007,4/14/2025,4/16/2025,4602,209.78,965407.56,Settled,BRL
TRX0000119,8495500653,SEC00133,11/4/2024,11/6/2024,1128,283.32,319584.96,Settled,MXN
TRX0000120,3029967115,SEC00016,3/30/2025,4/1/2025,3240,158.79,514479.6,Settled,CAD
TRX0000121,10699606,SEC00050,1/15/2025,1/17/2025,2746,313.38,860541.48,Pending,EUR
TRX0000122,3831555659,SEC00163,8/29/2025,8/30/2025,2564,443.32,1136672.48,Settled,EUR
TRX0000123,1212806224,SEC00016,7/19/2025,7/21/2025,2518,400.14,1007552.52,Settled,COP
TRX0000124,9160661010,SEC00078,3/20/2025,3/22/2025,4187,58.81,246237.47,Settled,GBP
TRX0000125,5907854904,SEC00082,7/16/2025,7/18/2025,389,167.73,65246.97,Settled,CAD
TRX0000126,5122698071,SEC00087,11/14/2024,11/16/2024,333,8.33,2773.89,Settled,COP
TRX0000127,9376063353,SEC00103,7/10/2025,7/11/2025,2076,77.65,161201.4,Settled,JPY
TRX0000128,4540487387,SEC00093,4/19/2025,4/21/2025,2542,479.26,1218278.92,Settled,BRL
TRX0000129,2273974641,SEC00070,9/10/2025,9/11/2025,2122,344.14,730265.08,Settled,AED
TRX0000130,0319342783,SEC00064,5/27/2025,5/29/2025,4628,6.35,29387.8,Settled,AUD
TRX0000131,5823297184,SEC00016,11/27/2024,11/29/2024,2334,83.79,195565.86,Settled,COP
TRX0000132,3276346579,SEC00083,7/14/2025,,4790,419.7,2010363,Settled,BRL
TRX0000133,7747684458,SEC00026,9/8/2025,9/10/2025,2515,196.89,495178.35,Pending,MXN
TRX0000134,6321313554,SEC00120,10/11/2024,10/12/2024,207,235.19,48684.33,Settled,INR
TRX0000135,7212660845,SEC00085,11/5/2024,11/7/2024,1221,23.28,28424.88,Settled,BRL
TRX0000136,7593586857,SEC00118,12/5/2024,12/7/2024,972,293.64,285418.08,Settled,INR
TRX0000137,3913362670,SEC00055,3/11/2025,3/13/2025,1345,421.95,567522.75,Pending,INR
TRX0000138,8558277529,SEC00003,5/2/2025,5/4/2025,2034,381.69,776357.46,Pending,GBP
TRX0000139,1152022431,SEC00170,10/3/2024,10/5/2024,3718,169.89,631651.02,Settled,AUD
TRX0000140,0825533331,SEC00135,7/17/2025,7/19/2025,2657,426.16,1132307.12,Settled,CLP
TRX0000141,3860423373,SEC00063,3/15/2025,,1525,425.29,648567.25,Settled,BRL
TRX0000142,5674856274,SEC00159,1/14/2025,1/16/2025,4240,53.38,226331.2,Settled,MXN
TRX0000143,4985773553,SEC00148,2/4/2025,,3145,89.58,281729.1,Settled,AED
TRX0000144,3198597434,SEC00031,1/13/2025,1/15/2025,1296,463.8,601084.8,Settled,CLP
TRX0000145,3984325187,SEC00146,2/22/2025,2/24/2025,712,4.65,3310.8,Settled,MXN
TRX0000146,9559473277,SEC00175,12/22/2024,12/23/2024,2629,490.92,1290628.68,Settled,ARS
TRX0000147,1185687973,SEC00114,4/26/2025,4/28/2025,4923,451.76,2224014.48,Settled,AUD
TRX0000148,9550762049,SEC00121,6/2/2025,,3117,433.53,1351313.01,Settled,ZAR
TRX0000149,9373971550,SEC00175,10/23/2024,10/24/2024,4046,277,1120742,Settled,USD
TRX0004299,0857729856,SEC00050,5/8/2025,,537,144.83,77773.71,Settled,JPY
TRX0000151,4798701236,SEC00046,6/6/2025,6/7/2025,3185,62.81,200049.85,Settled,ARS
TRX0000152,1582334592,SEC00014,9/26/2024,9/27/2024,4816,492.78,2373228.48,Settled,EUR
TRX0000153,2273974641,SEC00171,10/8/2025,,1210,397.05,480430.5,Settled,AED
TRX0000154,8610432053,SEC00151,12/2/2024,12/3/2024,2777,462.43,1284168.11,Failed,CLP
TRX0000155,3388521753,SEC00007,12/8/2024,12/10/2024,185,25.3,4680.5,Settled,CAD
TRX0000156,3518801882,SEC00177,5/16/2025,5/17/2025,3285,432.86,1421945.1,Settled,GBP
TRX0000157,9167007335,SEC00139,6/8/2025,6/9/2025,1909,118.03,225319.27,Settled,SGD
TRX0000158,9179156775,SEC00091,4/26/2025,4/27/2025,2219,257.8,572058.2,Settled,JPY
TRX0000159,5777959399,SEC00142,3/24/2025,3/26/2025,149,447.92,66740.08,Pending,EUR
TRX0000160,6387619490,SEC00141,12/13/2024,12/14/2024,1189,174.67,207682.63,Settled,COP
TRX0000161,8660368846,SEC00097,8/7/2025,8/9/2025,1495,199.07,297609.65,Settled,CLP
TRX0000162,7580564091,SEC00122,3/31/2025,4/2/2025,4432,43.32,191994.24,Settled,ARS
TRX0000163,1286174002,SEC00084,2/23/2025,2/24/2025,3588,499.37,1791739.56,Settled,SGD
TRX0000164,8182787645,SEC00007,6/21/2025,6/23/2025,2040,287.86,587234.4,Settled,CAD
TRX0000165,5823297184,SEC00061,7/21/2025,7/23/2025,3504,196.79,689552.16,Settled,COP
TRX0000166,2607714195,SEC00100,3/12/2025,3/14/2025,515,34.52,17777.8,Settled,COP
TRX0000167,8501617122,SEC00040,4/2/2025,4/4/2025,89,317.64,28269.96,Pending,AUD
TRX0000168,9167007335,SEC00150,2/23/2025,,2102,376.23,790835.46,Settled,SGD
TRX0000169,0012089444,SEC00002,9/4/2025,9/5/2025,1423,118.31,168355.13,Settled,CLP
TRX0000170,6618860954,SEC00010,8/3/2025,8/5/2025,4545,371.42,1688103.9,Settled,CLP
TRX0000171,0558590757,SEC00063,4/26/2025,4/28/2025,3267,121.44,396744.48,Settled,INR
TRX0000172,5300945546,SEC00013,11/15/2024,11/16/2024,778,142.34,110740.52,Settled,CAD
TRX0000173,6333104285,SEC00087,12/12/2024,12/13/2024,3960,219.75,870210,Settled,XXX
TRX0000174,1637844022,SEC00099,8/24/2025,8/26/2025,4973,407.5,2026497.5,Settled,ARS
TRX0000175,9942717513,SEC00162,3/2/2025,3/4/2025,926,51.85,48013.1,Settled,EUR
TRX0000176,2637704414,SEC00007,1/6/2025,1/8/2025,4776,217.05,1036630.8,Settled,CAD
TRX0000177,9373971550,SEC00110,8/20/2025,8/22/2025,4798,21.5,103157,Settled,USD
TRX0000178,6387619490,SEC00135,4/8/2025,4/10/2025,328,258.53,84797.84,Settled,COP
TRX0000179,07532956617,SEC_BAD_4720,9/29/2024,10/1/2024,255,192.87,49181.85,Settled,AUD
TRX0000180,8126851882,SEC00151,8/5/2025,8/7/2025,3491,151.73,529689.43,Settled,EUR
TRX0000181,9079551984,SEC00133,2/11/2025,2/13/2025,1450,431.52,625704,Settled,JPY
TRX0000182,5384839942,SEC00094,9/12/2024,9/14/2024,1374,167.21,229746.54,Settled,ARS
TRX0000183,1076970110,SEC00027,2/16/2025,2/17/2025,2336,130.91,305805.76,Settled,ARS
TRX0000184,4287142271,SEC00151,1/7/2025,1/9/2025,4570,341.95,1562711.5,Settled,ARS
TRX0000185,8269772884,SEC00048,6/10/2025,,1654,25.24,41746.96,Settled,ZAR
TRX0000186,7827424723,SEC00133,10/9/2025,7/26/2025,3558,24.64,87669.12,Settled,CLP
TRX0000187,26188216,SEC00040,9/19/2024,9/21/2024,4594,94.97,436292.18,Settled,MXN
TRX0000188,0299802690,SEC00076,11/7/2024,11/9/2024,554,121.58,67355.32,Settled,JPY
TRX0000189,0857729856,SEC00041,12/5/2024,12/6/2024,2951,3.37,9944.87,Settled,JPY
TRX0000190,8695986758,SEC00172,3/25/2025,3/27/2025,3095,386.7,1196836.5,Settled,ARS
TRX0000191,7679101165,SEC00123,12/27/2024,,1272,227.77,289723.44,Settled,GBP
TRX0000192,8206576626,SEC00113,8/9/2025,8/11/2025,4923,406.77,2002528.71,Settled,AED
TRX0000193,3744034462,SEC00092,6/30/2025,7/2/2025,1482,207.6,307663.2,Settled,INR
TRX0000194,9880739888,SEC00030,1/5/2025,1/7/2025,4309,173.89,749292.01,Pending,EUR
TRX0000195,1775483909,SEC00083,9/18/2024,9/20/2024,3296,354.34,1167904.64,Settled,USD
TRX0000196,6132143455,SEC00166,6/8/2025,6/10/2025,621,297.32,184635.72,Settled,CAD
TRX0000197,6364630839,SEC00153,10/27/2024,10/29/2024,3351,87.3,292542.3,Settled,CAD
TRX0000198,1775483909,SEC00041,3/16/2025,,1325,9.27,12282.75,Settled,USD
TRX0000199,7816273452,SEC00090,9/9/2025,9/11/2025,1941,448.75,871023.75,Settled,ARS
TRX0000200,0175393120,SEC00095,7/30/2025,8/1/2025,827,137.32,113563.64,Settled,ARS
TRX0000201,6496696399,SEC00014,9/30/2024,10/2/2024,661,332.15,219551.15,Settled,USD
TRX0000202,0319342783,SEC00133,7/14/2025,7/16/2025,260,116.41,30266.6,Settled,AUD
TRX0000203,7431616934,SEC00114,7/27/2025,7/29/2025,3098,277.22,858827.56,Settled,USD
TRX0000204,1582334592,SEC00165,2/3/2025,2/5/2025,2663,283.9,756025.7,Settled,EUR
TRX0000205,8541046075,SEC00043,6/15/2025,,749,257.78,193077.22,Settled,ZAR
TRX0000206,1387882217,SEC00148,9/16/2024,9/17/2024,1792,204.57,366589.44,Settled,AED
TRX0000207,0087222265,SEC00075,10/16/2024,10/17/2024,3287,341.61,1122872.07,Settled,CAD
TRX0000208,0319342783,SEC00093,11/5/2024,,1327,100.57,133456.39,Pending,AUD
TRX0000209,8375734060,SEC00037,7/22/2025,,1219,235.43,286989.17,Settled,USD
TRX0000210,6442714264,SEC00064,6/6/2025,6/7/2025,3229,258.99,836278.71,Settled,AUD
TRX0000211,3886605613,SEC00168,6/9/2025,6/10/2025,2670,285.4,762018,Settled,SGD
TRX0000212,1793028198,SEC00082,10/20/2024,,3497,399.25,1396177.25,Settled,EUR
TRX0000213,4486536641,SEC00098,10/18/2024,10/20/2024,2155,12.55,27045.25,Settled,CLP
TRX0000214,2607714195,SEC00019,9/7/2025,9/8/2025,1886,443.9,837195.4,Settled,COP
TRX0000215,9880739888,SEC00041,1/6/2025,1/8/2025,2857,205.16,586142.12,Pending,EUR
TRX0000216,0117716193,SEC00122,4/19/2025,,2521,99.17,250007.57,Settled,INR
TRX0000217,0458697149,SEC00172,1/27/2025,1/29/2025,3844,82.27,316245.88,Settled,EUR
TRX0000218,2343829484,SEC00013,5/19/2025,5/21/2025,119,122.55,14583.45,Settled,GBP
TRX0000219,0552102019,SEC00050,10/18/2024,10/19/2024,2921,139.78,408297.38,Pending,SGD
TRX0000220,8660368846,SEC00052,11/24/2024,11/26/2024,2394,234.74,561967.56,Settled,CLP
TRX0000221,1793028198,SEC00057,12/15/2024,12/17/2024,43,479.71,20627.53,Settled,EUR
TRX0000222,8541046075,SEC00147,5/8/2025,5/10/2025,4418,126.97,560953.46,Settled,ZAR
TRX0000223,6718910369,SEC00034,1/4/2025,1/5/2025,3824,450.92,1724318.08,Settled,ZAR
TRX0000224,6992591729,SEC00163,4/24/2025,,4911,36.84,180921.24,Settled,USD
TRX0000225,0800785553,SEC00160,8/21/2025,8/23/2025,1523,49.39,75220.97,Pending,AED
TRX0000226,4521295413,SEC00139,6/10/2025,6/12/2025,3084,83.49,257483.16,Settled,JPY
TRX0000227,6068941037,SEC00116,2/24/2025,2/25/2025,802,292.53,234609.06,Settled,ZAR
TRX0000228,0321230713,SEC00158,12/29/2024,12/31/2024,4176,380.25,1587924,Settled,BRL
TRX0000229,8384081591,SEC00066,6/20/2025,6/22/2025,3017,61.21,184670.57,Settled,MXN
TRX0000230,8796751217,SEC00036,8/5/2025,8/7/2025,1925,423.39,815025.75,Settled,JPY
TRX0000231,4877345150,SEC00011,5/7/2025,5/9/2025,2068,123.38,255149.84,Settled,USD
TRX0000232,0811786170,SEC00040,10/30/2024,10/31/2024,4256,170.32,724881.92,Settled,CLP
TRX0000233,9488906079,SEC00051,12/11/2024,12/13/2024,1481,470.07,696173.67,Settled,ARS
TRX0000234,0505551351,SEC00142,8/2/2025,8/3/2025,1642,245.81,403620.02,Settled,CLP
TRX0000235,6907231557,SEC00129,3/24/2025,3/26/2025,4127,66.75,275477.25,Settled,ARS
TRX0000236,1165354259,SEC00066,10/27/2024,,447,476.65,213062.55,Settled,USD
TRX0000237,3787183452,SEC00081,11/10/2024,11/12/2024,4799,127.34,611104.66,Settled,SGD
TRX0000238,1144743190,SEC00019,9/22/2024,9/24/2024,786,161.44,126891.84,Settled,USD
TRX0000239,9821733085,SEC00101,4/21/2025,4/23/2025,4854,266.41,1293154.14,Settled,MXN
TRX0000240,7944501069,SEC00075,7/15/2025,7/16/2025,4943,371.07,1834199.01,Settled,ARS
TRX0000241,5918990428,SEC00041,7/15/2025,,765,171.35,131082.75,Settled,INR
TRX0000242,8403425025,SEC00106,8/18/2025,8/19/2025,1712,311.73,533681.76,Settled,COP
TRX0000243,8855519259,SEC00132,5/2/2025,5/4/2025,3968,461.97,1833096.96,Settled,EUR
TRX0000244,3467086399,SEC00056,12/25/2024,12/27/2024,3195,496.69,1586924.55,Settled,COP
TRX0000245,5798750072,SEC00112,7/29/2025,7/31/2025,311,65.39,20336.29,Settled,USD
TRX0000246,2343829484,SEC00029,4/30/2025,5/2/2025,766,160.26,122759.16,Pending,GBP
TRX0000247,10699606,SEC00099,6/4/2025,6/6/2025,1515,300.25,454878.75,Settled,EUR
TRX0000248,4624609055,SEC00077,4/24/2025,4/26/2025,4750,89.44,424840,Settled,EUR
TRX0000249,5686824922,SEC00118,9/6/2025,9/8/2025,4230,225.37,953315.1,Pending,CLP
TRX0000250,9857469145,SEC00120,6/11/2025,,3748,266.18,997642.64,Settled,BRL
TRX0000251,0558590757,SEC00106,11/13/2024,,1513,183.8,278089.4,Settled,INR
TRX0000252,5999185367,SEC00148,2/2/2025,2/4/2025,2016,360.17,726102.72,Settled,BRL
TRX0000253,3787183452,SEC00111,6/3/2025,6/5/2025,4535,323.89,1468841.15,Settled,SGD
TRX0000254,7859126165,SEC00109,5/24/2025,5/26/2025,2041,63.78,130174.98,Pending,CAD
TRX0000255,8454746149,SEC00092,1/8/2025,1/10/2025,3337,331.79,1107183.23,Settled,INR
TRX0000256,1144743190,SEC00090,7/2/2025,7/3/2025,989,430.45,425715.05,Settled,USD
TRX0000257,0998552643,SEC00051,5/13/2025,5/15/2025,4355,70.19,305677.45,Settled,BRL
TRX0000258,8072358343,SEC00145,12/24/2024,12/26/2024,4572,102.06,466618.32,Settled,AUD
TRX0000259,6377891353,SEC00072,3/28/2025,3/29/2025,3845,305.42,1174339.9,Pending,EUR
TRX0000260,8137502141,SEC00020,12/14/2024,12/16/2024,321,488.09,156676.89,Settled,MXN
TRX0000261,7431616934,SEC00098,2/4/2025,2/6/2025,2722,200.63,546114.86,Pending,USD
TRX0000262,8187875277,SEC00022,7/28/2025,7/30/2025,1813,468.03,848538.39,Settled,CAD
TRX0000263,4808806500,SEC00058,7/20/2025,7/22/2025,4283,245.42,1051133.86,Settled,EUR
TRX0000264,7212660845,SEC00039,4/30/2025,5/2/2025,4045,456.42,1846218.9,Settled,BRL
TRX0000265,3961121170,SEC00071,8/15/2025,8/16/2025,4680,372.75,1744470,Settled,EUR
TRX0000266,9684562622,SEC00064,6/18/2025,6/19/2025,527,228.77,120561.79,Settled,AUD
TRX0000267,1185687973,SEC00071,12/8/2024,12/10/2024,3169,129.65,410860.85,Settled,AUD
TRX0000268,6333104285,SEC00094,4/13/2025,4/15/2025,1432,408.21,584556.72,Settled,XXX
TRX0000269,9527137831,SEC00178,7/23/2025,7/25/2025,1830,168.73,308775.9,Failed,AUD
TRX0000270,2186894135,SEC00008,6/30/2025,7/1/2025,1173,387.39,454408.47,Settled,AED
TRX0000271,4384115669,SEC_BAD_8590,10/24/2024,,1950,97.1,189345,Settled,BRL
TRX0000272,0393719127,SEC00173,9/21/2024,9/23/2024,2114,466.52,986223.28,Settled,CLP
