Account_Number,Investor_Name,Currency_Code,Account_Type,Country,Region,Open_Date
5907854904,Yuki Smith,CAD,Pension,Canada,NA,6/13/2022
8311657352,Isla Davis,BRL,Institutional,Brazil,LATAM,11/12/2021
6772423440,Priya Hernandez,MXN,Mutual Fund,Mexico,NA,4/22/2022
800785553,Yuki Brown,AED,Pension,UAE,EMEA,1/6/2024
6352621837,Parker Davis,CAD,Custody-Only,Canada,NA,6/25/2021
9821733085,Taylor Chen,MXN,Institutional,Mexico,NA,6/15/2022
5341339581,Isla Kim,MXN,Institutional,Mexico,NA,6/20/2020
6442714264,Morgan Kim,AUD,Hedge Fund,Australia,APAC,12/16/2020
321230713,Parker Moore,BRL,Custody-Only,Brazil,LATAM,10/2/2020
3744034462,Alex Lee,INR,Hedge Fund,India,APAC,6/6/2022
825533331,Sam Moore,CLP,Custody-Only,Chile,LATAM,11/2/2021
3961121170,Leila Miller,EUR,Custody-Only,France,EMEA,5/14/2019
8610432053,Jordan Kim,CLP,Mutual Fund,Chile,LATAM,3/2/2022
6905359709,Avery Lee,INR,Custody-Only,India,APAC,6/30/2021
9488906079,Diego Thomas,ARS,Hedge Fund,Argentina,LATAM,10/5/2021
9376063353,Isla Chen,JPY,Mutual Fund,Japan,APAC,4/15/2023
6936617056,Casey Moore,MXN,Institutional,Mexico,NA,11/10/2022
393719127,Sofia Moore,CLP,Institutional,Chile,LATAM,11/8/2021
5116697037,Omar Thomas,SGD,Mutual Fund,Singapore,APAC,4/7/2019
5384839942,Diego Moore,ARS,Pension,Argentina,LATAM,7/23/2022
8126851882,Riley Hernandez,EUR,Pension,Germany,EMEA,6/3/2020
988943330,Alex Lee,AED,Institutional,UAE,EMEA,6/11/2023
1286174002,Casey Taylor,SGD,Custody-Only,Singapore,APAC,1/7/2020
7212660845,Diego Anderson,BRL,Hedge Fund,Brazil,LATAM,2/26/2021
4624609055,Sofia Patel,EUR,Pension,France,EMEA,11/8/2021
6920737677,Casey Kim,BRL,Mutual Fund,Brazil,LATAM,11/2/2022
8694117902,Avery Kim,SGD,Mutual Fund,Singapore,APAC,4/6/2020
9527137831,Yuki Martinez,AUD,Pension,Australia,APAC,8/21/2022
9449587068,Morgan Lee,CLP,Institutional,Chile,LATAM,8/22/2021
6364630839,Jordan Garcia,CAD,Pension,Canada,NA,2/28/2023
9167007335,Casey Miller,SGD,Mutual Fund,Singapore,APAC,4/22/2021
7553621743,Sam Hernandez,AUD,Mutual Fund,Australia,APAC,7/20/2021
9294184840,Priya Brown,ARS,Institutional,Argentina,LATAM,11/16/2020
8796751217,Arjun Taylor,JPY,Custody-Only,Japan,APAC,7/21/2024
8560397578,Casey Lee,AUD,Institutional,Australia,APAC,4/14/2024
6387619490,Diego Chen,COP,Mutual Fund,Colombia,LATAM,1/2/2024
3739882651,Isla Taylor,EUR,Institutional,Germany,EMEA,1/1/2023
9167685800,Luca Hernandez,ZAR,Hedge Fund,South Africa,EMEA,2/7/2021
4629486200,Yuki Wilson,BRL,Pension,Brazil,LATAM,3/27/2022
6377891353,Sam Hernandez,EUR,Pension,France,EMEA,1/31/2022
236281353,Riley Wilson,EUR,Custody-Only,Germany,EMEA,6/3/2020
8403425025,Leila Silva,COP,Custody-Only,Colombia,LATAM,12/22/2019
4877345150,Omar Taylor,USD,Mutual Fund,USA,NA,11/15/2021
9373971550,Priya Wilson,USD,Custody-Only,USA,NA,12/7/2023
6536197238,Leila Anderson,ARS,Mutual Fund,Argentina,LATAM,9/18/2021
3695776049,Luca Anderson,BRL,Hedge Fund,Brazil,LATAM,4/23/2020
4577382571,Priya Davis,MXN,Hedge Fund,Mexico,NA,3/24/2022
4798701236,Mei Lee,ARS,Hedge Fund,Argentina,LATAM,10/2/2021
5686824922,Morgan Silva,CLP,Hedge Fund,Chile,LATAM,6/3/2019
4597255833,Casey Silva,CLP,Institutional,Chile,LATAM,5/13/2020
3424259616,Parker Khan,INR,Institutional,India,APAC,5/30/2021
471705949,Leila Wilson,EUR,Hedge Fund,Germany,EMEA,10/11/2019
2076278094,Riley Kim,JPY,Pension,Japan,APAC,1/2/2020
9998051929,Diego Wilson,ARS,Hedge Fund,Argentina,LATAM,8/27/2021
1114217757,Isla Martinez,CLP,Pension,Chile,LATAM,9/19/2023
4094903423,Luca Patel,INR,Mutual Fund,India,APAC,6/8/2021
134587319,Arjun Thomas,SGD,Hedge Fund,Singapore,APAC,1/17/2023
4493797887,Isla Garcia,EUR,Custody-Only,Germany,EMEA,11/19/2020
505551351,Luca Wilson,CLP,Institutional,Chile,LATAM,7/20/2023
4540487387,Taylor Kim,BRL,Pension,Brazil,LATAM,6/16/2021
70623991775,Yuki Brown,INR,Pension,India,APAC,4/19/2019
3665631557,Alex Patel,COP,Mutual Fund,Colombia,LATAM,6/14/2023
5823297184,Alex Khan,COP,Hedge Fund,Colombia,LATAM,5/28/2020
5468204577,Diego Silva,USD,Hedge Fund,USA,NA,12/1/2023
2895425571,Yuki Taylor,JPY,Pension,Japan,APAC,11/22/2020
9673413748,Casey Miller,CAD,Institutional,Canada,NA,1/6/2023
5122698071,Mei Thomas,COP,Custody-Only,Colombia,LATAM,3/13/2023
1775483909,Sam Wilson,USD,Hedge Fund,USA,NA,4/22/2019
9573532540,Leila Lee,AED,Hedge Fund,UAE,EMEA,8/25/2020
4521295413,Luca Khan,JPY,Pension,Japan,APAC,7/28/2022
7477473151,Sofia Kim,JPY,Custody-Only,Japan,APAC,9/18/2019
9674827053,Isla Wilson,USD,Pension,USA,NA,3/27/2021
5407525649,Sam Smith,USD,Custody-Only,USA,NA,9/11/2023
1582334592,Taylor Kim,EUR,Institutional,Germany,EMEA,11/12/2020
3467086399,Diego Kim,COP,Hedge Fund,Colombia,LATAM,9/7/2019
4009850939,Casey Martinez,ZAR,Institutional,South Africa,EMEA,5/29/2021
5586537760,Arjun Kim,SGD,Institutional,Singapore,APAC,7/9/2020
8379370294,Sofia Martinez,ARS,Pension,Argentina,LATAM,9/15/2022
6067701767,Arjun Smith,ZAR,Institutional,South Africa,EMEA,12/4/2022
4710455105,Isla Lee,CAD,Pension,Canada,NA,5/9/2021
4775925612,Leila Chen,CAD,Institutional,Canada,NA,3/13/2023
2273974641,Mei Lee,AED,Custody-Only,UAE,EMEA,8/30/2024
4486536641,Priya Silva,CLP,Pension,Chile,LATAM,6/20/2022
3831555659,Avery Miller,EUR,Mutual Fund,France,EMEA,2/10/2022
6132143455,Diego Davis,CAD,Custody-Only,Canada,NA,9/14/2021
7859126165,Mei Lee,CAD,Pension,Canada,NA,1/30/2021
275623466,Arjun Patel,USD,Pension,USA,NA,11/9/2023
4919134244,Omar Lee,CAD,Institutional,Canada,NA,3/30/2022
8186619211,Yuki Miller,INR,Hedge Fund,India,APAC,7/24/2021
1637844022,Taylor Anderson,ARS,Institutional,Argentina,LATAM,10/2/2020
3428565653,Omar Thomas,EUR,Hedge Fund,France,EMEA,12/17/2019
6321313554,Sofia Nguyen,INR,Custody-Only,India,APAC,12/21/2021
2186894135,Leila Davis,AED,Pension,UAE,EMEA,1/14/2021
4007225147,Leila Taylor,COP,Custody-Only,Colombia,LATAM,5/28/2020
1783807591,Parker Silva,MXN,Institutional,Mexico,NA,1/18/2020
3849728537,Yuki Nguyen,CLP,Custody-Only,Chile,LATAM,2/25/2021
8855519259,Sam Chen,EUR,Pension,Germany,EMEA,10/25/2021
8182787645,Yuki Martinez,CAD,Pension,Canada,NA,3/12/2023
7747684458,Taylor Miller,MXN,Mutual Fund,Mexico,NA,12/14/2019
3984325187,Jordan Kim,MXN,Institutional,Mexico,NA,9/8/2019
1840926161,Quinn Garcia,BRL,Mutual Fund,Brazil,LATAM,6/21/2019
3913362670,Taylor Chen,INR,Custody-Only,India,APAC,1/10/2022
6068941037,Sam Lee,ZAR,Mutual Fund,South Africa,EMEA,2/16/2024
3886605613,Casey Davis,SGD,Custody-Only,Singapore,APAC,7/4/2023
175393120,Isla Thomas,ARS,Custody-Only,Argentina,LATAM,8/6/2021
8635572089,Mei Smith,INR,Hedge Fund,India,APAC,12/4/2021
5999185367,Taylor Patel,BRL,Custody-Only,Brazil,LATAM,5/8/2019
2007565470,Sofia Thomas,USD,Hedge Fund,USA,NA,9/10/2021
3528536860,Yuki Khan,INR,Institutional,India,APAC,10/13/2020
9160661010,Arjun Moore,GBP,Custody-Only,UK,EMEA,12/1/2021
3787183452,Luca Garcia,SGD,Pension,Singapore,APAC,3/27/2019
811786170,Alex Khan,CLP,Institutional,Chile,LATAM,11/20/2019
3198597434,Priya Hernandez,CLP,Institutional,Chile,LATAM,8/29/2020
5918990428,Taylor Taylor,INR,Pension,India,APAC,11/12/2022
2536454719,Parker Chen,CAD,Institutional,Canada,NA,6/8/2020
2388906871,Parker Davis,BRL,Pension,Brazil,LATAM,9/23/2021
7098573900,Mei Garcia,USD,Custody-Only,USA,NA,12/14/2023
6128938342,Avery Chen,CAD,Custody-Only,Canada,NA,5/30/2019
1431374480,Morgan Thomas,USD,Institutional,USA,NA,3/4/2020
1793028198,Sofia Khan,EUR,Institutional,France,EMEA,8/1/2021
8108918366,Luca Hernandez,BRL,Institutional,Brazil,LATAM,6/8/2021
1680881909,Mei Wilson,USD,Institutional,USA,NA,4/9/2022
1212806224,Leila Kim,COP,Institutional,Colombia,LATAM,8/12/2021
1185687973,Leila Brown,AUD,Custody-Only,Australia,APAC,8/24/2021
7532956617,Riley Smith,AUD,Hedge Fund,Australia,APAC,5/25/2023
5777959399,Riley Khan,EUR,Custody-Only,France,EMEA,9/23/2023
9079551984,Riley Wilson,JPY,Institutional,Japan,APAC,12/20/2022
2250921798,Jordan Patel,USD,Hedge Fund,USA,NA,11/20/2022
8893931311,Yuki Wilson,GBP,Mutual Fund,UK,EMEA,5/20/2019
6972513617,Luca Martinez,ZAR,Custody-Only,South Africa,EMEA,5/19/2019
6992591729,Taylor Lee,USD,Pension,USA,NA,10/5/2023
2637704414,Mei Brown,CAD,Custody-Only,Canada,NA,10/4/2019
8757247002,Taylor Lee,BRL,Hedge Fund,Brazil,LATAM,2/11/2024
7580564091,Yuki Nguyen,ARS,Institutional,Argentina,LATAM,9/17/2019
2167722205,Leila Chen,CAD,Institutional,Canada,NA,12/28/2019
4266101208,Mei Wilson,INR,Pension,India,APAC,12/21/2022
6333104285,Sam Garcia,XXX,Mutual Fund,India,APAC,11/8/2023
5884584840,Jordan Moore,ARS,Custody-Only,Argentina,LATAM,8/22/2019
9491210062,Casey Thomas,GBP,Mutual Fund,UK,EMEA,2/2/2020
558590757,Yuki Chen,INR,Hedge Fund,India,APAC,1/26/2024
5125343460,Mei Chen,USD,Custody-Only,USA,NA,2/26/2023
3860423373,Leila Smith,BRL,Hedge Fund,Brazil,LATAM,12/22/2019
9482461287,Diego Brown,EUR,Institutional,France,EMEA,6/10/2020
3518801882,Jordan Brown,GBP,Hedge Fund,UK,EMEA,2/21/2022
8561035185,Arjun Nguyen,JPY,Mutual Fund,Japan,APAC,9/27/2022
87222265,Alex Wilson,CAD,Hedge Fund,Canada,NA,11/8/2019
8269772884,Omar Silva,ZAR,Custody-Only,South Africa,EMEA,6/24/2023
998552643,Priya Hernandez,BRL,Mutual Fund,Brazil,LATAM,2/24/2023
1788866676,Quinn Davis,SGD,Pension,Singapore,APAC,1/16/2023
5983766493,Riley Taylor,BRL,Hedge Fund,Brazil,LATAM,1/7/2023
4775998622,Morgan Davis,INR,Mutual Fund,India,APAC,10/25/2019
5410656411,Mei Moore,JPY,Mutual Fund,Japan,APAC,11/18/2020
8193989181,Leila Lee,BRL,Hedge Fund,Brazil,LATAM,3/31/2024
271747066,Yuki Wilson,INR,Pension,India,APAC,6/9/2022
5798750072,Arjun Silva,USD,Hedge Fund,USA,NA,10/13/2019
5300945546,Priya Wilson,CAD,Mutual Fund,Canada,NA,12/13/2023
9942717513,Jordan Martinez,EUR,Mutual Fund,Germany,EMEA,1/19/2021
9660643541,Alex Silva,MXN,Pension,Mexico,NA,10/20/2020
5674856274,Avery Hernandez,MXN,Custody-Only,Mexico,NA,4/14/2021
10699606,Luca Wilson,EUR,Hedge Fund,France,EMEA,1/7/2020
796492088,Morgan Brown,MXN,Mutual Fund,Mexico,NA,12/3/2019
708613468,Arjun Lee,BRL,Hedge Fund,Brazil,LATAM,3/6/2024
4486448117,Riley Smith,CAD,Pension,Canada,NA,6/1/2019
1330689191,Omar Kim,COP,Institutional,Colombia,LATAM,5/24/2022
857729856,Sam Davis,JPY,Hedge Fund,Japan,APAC,3/26/2021
6618860954,Riley Garcia,CLP,Pension,Chile,LATAM,12/2/2021
3255380450,Omar Lee,SGD,Institutional,Singapore,APAC,11/27/2021
1450066352,Omar Lee,BRL,Mutual Fund,Brazil,LATAM,12/7/2020
8375734060,Morgan Taylor,USD,Custody-Only,USA,NA,9/16/2022
117716193,Avery Lee,INR,Institutional,India,APAC,2/19/2022
9857469145,Sofia Davis,BRL,Custody-Only,Brazil,LATAM,6/5/2024
6181663846,Parker Hernandez,ARS,Pension,Argentina,LATAM,10/25/2020
4147727879,Avery Ivanov,JPY,Hedge Fund,Japan,APAC,2/25/2021
9179156775,Luca Davis,JPY,Custody-Only,Japan,APAC,6/7/2021
8501617122,Jordan Silva,AUD,Hedge Fund,Australia,APAC,12/29/2019
8187875277,Jordan Martinez,CAD,Pension,Canada,NA,2/1/2023
9072884267,Luca Taylor,CLP,Custody-Only,Chile,LATAM,8/21/2022
2161153451,Quinn Patel,EUR,Mutual Fund,Germany,EMEA,6/4/2021
957683750,Priya Moore,ARS,Hedge Fund,Argentina,LATAM,9/24/2020
545022332,Isla Moore,ZAR,Pension,South Africa,EMEA,6/24/2020
6496696399,Quinn Taylor,USD,Mutual Fund,USA,NA,7/15/2022
8384081591,Sofia Taylor,MXN,Institutional,Mexico,NA,5/4/2019
6784157976,Taylor Chen,USD,Institutional,USA,NA,6/7/2019
12089444,Alex Martinez,CLP,Institutional,Chile,LATAM,12/5/2022
7070835266,Omar Martinez,MXN,Pension,Mexico,NA,2/14/2023
1277826289,Arjun Patel,CAD,Custody-Only,Canada,NA,11/3/2019
535027729,Diego Chen,GBP,Hedge Fund,UK,EMEA,12/5/2019
6216507956,Morgan Garcia,EUR,Mutual Fund,Germany,EMEA,4/16/2024
7431616934,Morgan Anderson,USD,Hedge Fund,USA,NA,3/30/2021
9137762363,Omar Miller,JPY,Mutual Fund,Japan,APAC,1/4/2022
5168815280,Alex Moore,AUD,Institutional,Australia,APAC,4/11/2024
9559473277,Casey Miller,ARS,Custody-Only,Argentina,LATAM,1/26/2023
3029967115,Casey Wilson,CAD,Mutual Fund,Canada,NA,7/12/2021
7222657398,Priya Smith,USD,Custody-Only,USA,NA,6/23/2024
5533580292,Arjun Brown,JPY,Pension,Japan,APAC,6/4/2022
5110621371,Yuki Lee,BRL,Institutional,Brazil,LATAM,5/30/2023
4564215158,Jordan Nguyen,COP,Mutual Fund,Colombia,LATAM,11/17/2023
9550762049,Leila Nguyen,ZAR,Hedge Fund,South Africa,EMEA,11/2/2019
7816273452,Casey Smith,ARS,Institutional,Argentina,LATAM,7/16/2022
8541046075,Taylor Wilson,ZAR,Hedge Fund,South Africa,EMEA,1/16/2024
6530528735,Luca Smith,MXN,Pension,Mexico,NA,7/17/2020
4282841775,Diego Patel,EUR,Pension,France,EMEA,1/15/2024
4145255693,Yuki Taylor,EUR,Custody-Only,France,EMEA,7/23/2023
3523377867,Riley Smith,ARS,Hedge Fund,Argentina,LATAM,3/13/2022
8660368846,Taylor Hernandez,CLP,Hedge Fund,Chile,LATAM,3/16/2024
6794629071,Omar Patel,INR,Hedge Fund,India,APAC,12/5/2021
552102019,Mei Brown,SGD,Pension,Singapore,APAC,4/30/2020
5700289392,Avery Miller,ARS,Pension,Argentina,LATAM,4/20/2021
1555315257,Omar Martinez,CAD,Custody-Only,Canada,NA,4/19/2023
7944501069,Parker Lee,ARS,Pension,Argentina,LATAM,11/26/2020
7223735132,Quinn Nguyen,INR,Hedge Fund,India,APAC,6/26/2021
2222883710,Leila Thomas,ARS,Institutional,Argentina,LATAM,5/5/2019
3388521753,Luca Chen,CAD,Institutional,Canada,NA,6/29/2020
9038741530,Avery Martinez,COP,Custody-Only,Colombia,LATAM,12/2/2020
3812293144,Arjun Brown,CAD,Pension,Canada,NA,6/25/2020
1152022431,Casey Wilson,AUD,Institutional,Australia,APAC,4/28/2019
4985773553,Riley Kim,AED,Hedge Fund,UAE,EMEA,10/29/2020
8072358343,Isla Ivanov,AUD,Custody-Only,Australia,APAC,11/21/2020
3647832611,Priya Davis,EUR,Custody-Only,France,EMEA,3/3/2020
336763879,Luca Moore,BRL,Pension,Brazil,LATAM,7/4/2020
1076970110,Leila Taylor,ARS,Institutional,Argentina,LATAM,10/10/2019
5916093274,Casey Moore,CAD,Hedge Fund,Canada,NA,12/29/2023
6834952496,Luca Thomas,USD,Pension,USA,NA,9/16/2023
9420341057,Arjun Silva,CLP,Pension,Chile,LATAM,12/8/2023
9940422034,Yuki Martinez,MXN,Hedge Fund,Mexico,NA,7/22/2021
8206576626,Quinn Davis,AED,Hedge Fund,UAE,EMEA,9/19/2021
1144743190,Sam Silva,USD,Mutual Fund,USA,NA,4/1/2019
7214337947,Taylor Chen,AED,Institutional,UAE,EMEA,11/6/2022
418881727,Parker Kim,AUD,Hedge Fund,Australia,APAC,3/20/2022
